title,duration,IMDb,Rotten Tomatoes,Multiple Seasons
Dave Chappelle,1,8.7,61,0
Monty Python's Flying Circus,4,8.8,81,1
Trotro,1,6.0,35,0
The Last Czars,1,7.3,54,0
Dealer,1,6.2,48,0
"Can't Cope, Won't Cope",2,7.3,46,1
Vincenzo,1,8.5,66,0
Hyperdrive,1,8.1,67,0
Chef's Table: BBQ,1,7.8,49,0
Marcella,3,7.4,72,1
The Innocent Man,1,7.3,65,0
Transfers,1,7.3,54,0
Iron Ladies,1,5.9,31,0
The Sound of Your Heart: Reboot,2,5.9,33,1
Almost Happy,1,6.8,41,0
Dirty John,2,7.2,76,1
Ridley Jones,1,5.6,52,0
The Big Family Cooking Showdown,2,7.0,45,1
Prank Encounters,2,5.2,48,1
Secrets of Great British Castles,2,7.8,52,1
QB1: Beyond the Lights,1,7.8,49,0
Travelers,3,8.1,77,1
The Innocents,1,6.3,63,0
Paquita Salas,3,8.0,51,1
Cheer,1,8.1,70,0
Ragnarok,2,7.5,74,1
Wynonna Earp,4,7.5,78,1
Love 101,1,7.5,61,0
Hangar 1: The UFO Files,1,7.3,52,0
44 Cats,3,6.1,43,1
Death by Magic,1,6.1,41,0
Ethos,1,8.6,63,0
Rimba Racer,1,8.2,36,0
Between,2,6.0,62,1
Rainbow High,1,6.0,47,0
The Promised Neverland,1,8.5,81,0
Mr. Iglesias,3,7.1,59,1
Marvel's Iron Fist,2,6.5,73,1
Never Have I Ever,2,7.9,86,1
Daughter From Another Mother,1,7.4,54,0
Regiment Diaries,2,8.8,48,1
Breakout,1,7.9,39,0
Home Game,1,7.1,46,0
Soul Eater,1,7.8,74,0
Inside Bill's Brain: Decoding Bill Gates,1,7.9,65,0
Jojo's World,1,6.6,31,0
Easy Fortune Happy Life,1,5.6,35,0
Shopkins,1,3.8,32,0
Justin Time,2,6.7,39,1
Diablero,2,6.7,53,1
Watership Down,1,7.2,64,0
The American Bible Challenge,1,6.4,39,0
Stunt Science,1,5.0,30,0
The Crew,1,6.6,56,0
Revolutionary Love,1,7.1,42,0
Rotten,2,7.2,63,1
Hardy Bucks,4,8.3,50,1
GLOW,3,8.0,79,1
The Ollie & Moon Show,1,8.3,44,0
The Next Step,1,6.2,57,0
The Many Faces of Ito,1,6.4,42,0
Kuromukuro,2,7.2,48,1
Great News,2,7.0,66,1
Mystery Lab,1,7.7,50,0
Girlfriends,8,7.2,56,1
Generation 56k,1,7.4,63,0
Fate: The Winx Saga,1,6.9,70,0
The Keepers,1,8.1,75,0
Derek,3,8.0,72,1
Medici: Masters of Florence,3,7.9,69,1
Barbie Dreamhouse Adventures,3,6.8,43,1
Can You Hear Me?,2,7.7,48,1
The Victims' Game,1,7.4,51,0
Followers,1,6.2,42,0
The Way of the Househusband,1,8.6,45,0
Diamond Lover,1,6.3,35,0
Hot Girls Wanted: Turned On,1,6.6,62,0
The Woods,1,6.5,58,0
Record of Youth,1,7.3,47,0
The Repair Shop,1,8.7,59,0
Conversations with a Killer: The Ted Bundy Tapes,1,7.8,70,0
Kulipari: An Army of Frogs,1,7.0,35,0
Dark,3,8.8,93,1
The Spy,1,7.9,75,0
The Baby-Sitters Club,1,7.4,66,0
Atypical,4,8.3,88,1
#blackAF,1,6.8,54,0
Feels Like Ishq,1,6.7,47,0
La Doña,1,7.2,51,0
Summertime,2,5.5,57,1
The Twelve,1,7.5,57,0
Be with You,1,7.1,30,0
Too Hot to Handle,2,4.6,61,1
Two Sentence Horror Stories,2,5.5,51,1
The Family,1,6.4,59,0
Reply 1994,1,7.8,51,0
Sunny Bunnies,2,6.8,42,1
Bad Guys,1,7.9,52,0
Crazy Delicious,1,6.7,52,0
Lunatics,1,6.6,49,0
